region,country,state,city,month,day,year,avgtemperature
Africa,Algeria,NULL,Algiers,1,1,1995,64.2
Africa,Algeria,NULL,Algiers,2,1,1995,50.4
Africa,Algeria,NULL,Algiers,3,1,1995,52.2
Africa,Algeria,NULL,Algiers,4,1,1995,47.4
Africa,Algeria,NULL,Algiers,5,1,1995,60.4
Africa,Algeria,NULL,Algiers,6,1,1995,64.6
Africa,Algeria,NULL,Algiers,7,1,1995,78.6
Africa,Algeria,NULL,Algiers,8,1,1995,80.1
Africa,Algeria,NULL,Algiers,9,1,1995,76.3
Africa,Algeria,NULL,Algiers,10,1,1995,69
Africa,Algeria,NULL,Algiers,11,1,1995,67.9
Africa,Algeria,NULL,Algiers,12,1,1995,57.3
Africa,Burundi,NULL,Bujumbura,1,1,1995,-99
Africa,Burundi,NULL,Bujumbura,2,1,1995,-99
Africa,Burundi,NULL,Bujumbura,3,1,1995,78.5
Africa,Burundi,NULL,Bujumbura,4,1,1995,78.6
Africa,Burundi,NULL,Bujumbura,5,1,1995,75.3
Africa,Burundi,NULL,Bujumbura,6,1,1995,82.6
Africa,Burundi,NULL,Bujumbura,7,1,1995,80.6
Africa,Burundi,NULL,Bujumbura,8,1,1995,81.2
Africa,Burundi,NULL,Bujumbura,9,1,1995,82
Africa,Burundi,NULL,Bujumbura,10,1,1995,-99
Africa,Burundi,NULL,Bujumbura,11,1,1995,81.9
Africa,Burundi,NULL,Bujumbura,12,1,1995,79.7
Africa,Benin,NULL,Cotonou,1,1,1995,81.2
Africa,Benin,NULL,Cotonou,2,1,1995,83.3
Africa,Benin,NULL,Cotonou,3,1,1995,84.6
Africa,Benin,NULL,Cotonou,4,1,1995,86.3
Africa,Benin,NULL,Cotonou,5,1,1995,83.8
Africa,Benin,NULL,Cotonou,6,1,1995,82.6
Africa,Benin,NULL,Cotonou,7,1,1995,-99
Africa,Benin,NULL,Cotonou,8,1,1995,79.1
Africa,Benin,NULL,Cotonou,9,1,1995,78.9
Africa,Benin,NULL,Cotonou,10,1,1995,79.7
Africa,Benin,NULL,Cotonou,11,1,1995,80.1
Africa,Benin,NULL,Cotonou,12,1,1995,83.6
Africa,Central African Republic,NULL,Bangui,1,1,1995,75.3
Africa,Central African Republic,NULL,Bangui,2,1,1995,77.5
Africa,Central African Republic,NULL,Bangui,3,1,1995,-99
Africa,Central African Republic,NULL,Bangui,4,1,1995,86.2
Africa,Central African Republic,NULL,Bangui,5,1,1995,75.9
Africa,Central African Republic,NULL,Bangui,6,1,1995,77
Africa,Central African Republic,NULL,Bangui,7,1,1995,79.4
Africa,Central African Republic,NULL,Bangui,8,1,1995,79.6
